OrderID,Customer,Item,Quantity,Price,OrderDate
O1169,Customer_1,Mouse,1,400.00,2025-08-09 09:00:00
O1170,Customer_3,Monitor,2,1000.00,2025-08-09 10:00:00
O1171,Customer_4,Headphones,1,600.00,2025-08-09 11:00:00
O1172,Customer_5,Laptop,2,1800.00,2025-08-09 12:00:00
O1173,Customer_2,Keyboard,1,700.00,2025-08-09 13:00:00
O1174,Customer_1,Monitor,3,1500.00,2025-08-09 14:00:00
O1175,Customer_3,Mouse,2,650.00,2025-08-09 15:00:00
O1176,Customer_4,Laptop,1,2000.00,2025-08-09 16:00:00
O1177,Customer_5,Keyboard,3,1200.00,2025-08-09 17:00:00
O1178,Customer_2,Headphones,2,800.00,2025-08-09 18:00:00
O1179,Customer_1,Mouse,1,400.00,2025-08-09 19:00:00
O1180,Customer_3,Monitor,2,1000.00,2025-08-09 20:00:00
O1181,Customer_4,Headphones,1,600.00,2025-08-09 21:00:00
O1182,Customer_5,Laptop,2,1800.00,2025-08-09 22:00:00
O1183,Customer_2,Keyboard,1,700.00,2025-08-09 23:00:00
O1184,Customer_1,Monitor,3,1500.00,2025-08-10 00:00:00
O1185,Customer_3,Mouse,2,650.00,2025-08-10 01:00:00
O1186,Customer_4,Laptop,1,2000.00,2025-08-10 02:00:00
O1187,Customer_5,Keyboard,3,1200.00,2025-08-10 03:00:00
O1188,Customer_2,Headphones,2,800.00,2025-08-10 04:00:00
O1189,Customer_1,Mouse,1,400.00,2025-08-10 05:00:00
O1190,Customer_3,Monitor,2,1000.00,2025-08-10 06:00:00
O1191,Customer_4,Headphones,1,600.00,2025-08-10 07:00:00
O1192,Customer_5,Laptop,2,1800.00,2025-08-10 08:00:00
O1193,Customer_2,Keyboard,1,700.00,2025-08-10 09:00:00
O1194,Customer_1,Monitor,3,1500.00,2025-08-10 10:00:00
O1195,Customer_3,Mouse,2,650.00,2025-08-10 11:00:00
O1196,Customer_4,Laptop,1,2000.00,2025-08-10 12:00:00
O1197,Customer_5,Keyboard,3,1200.00,2025-08-10 13:00:00
O1198,Customer_2,Headphones,2,800.00,2025-08-10 14:00:00
O1199,Customer_1,Mouse,1,400.00,2025-08-10 15:00:00
O1200,Customer_3,Monitor,2,1000.00,2025-08-10 16:00:00
